Accuracy_Flag = 20
  List       Phi     Theta     R       X       Y       Z          Energy        dE
     0   0.00 pi   0.00 pi  1.00   0.000   0.000   1.000    -24.40812983      0.01
     1   0.00 pi   0.03 pi  1.00   0.083   0.000   0.997    -24.40812675      3.09
     2   0.00 pi   0.05 pi  1.00   0.165   0.000   0.986    -24.40811537     14.47
     3   0.00 pi   0.08 pi  1.00   0.245   0.000   0.969    -24.40810222     27.62
     4   0.00 pi   0.11 pi  1.00   0.325   0.000   0.946    -24.40808755     42.29
     5   0.00 pi   0.13 pi  1.00   0.402   0.000   0.916    -24.40805510     74.74
     6   0.00 pi   0.16 pi  1.00   0.476   0.000   0.879    -24.40803152     98.32
     7   0.00 pi   0.18 pi  1.00   0.547   0.000   0.837    -24.40801965    110.19
     8   0.00 pi   0.21 pi  1.00   0.614   0.000   0.789    -24.40799425    135.59
     9   0.00 pi   0.24 pi  1.00   0.677   0.000   0.736    -24.40795733    172.51
    10   0.00 pi   0.26 pi  1.00   0.736   0.000   0.677    -24.40794197    187.87
    11   0.00 pi   0.29 pi  1.00   0.789   0.000   0.614    -24.40791493    214.91
    12   0.00 pi   0.32 pi  1.00   0.837   0.000   0.547    -24.40788316    246.68
    13   0.00 pi   0.34 pi  1.00   0.879   0.000   0.476    -24.40786730    262.54
    14   0.00 pi   0.37 pi  1.00   0.916   0.000   0.402    -24.40784517    284.67
    15   0.00 pi   0.39 pi  1.00   0.946   0.000   0.325    -24.40782886    300.98
    16   0.00 pi   0.42 pi  1.00   0.969   0.000   0.245    -24.40779486    334.98
    17   0.00 pi   0.45 pi  1.00   0.986   0.000   0.165    -24.40780257    327.27
    18   0.00 pi   0.47 pi  1.00   0.997   0.000   0.083    -24.40779662    333.22
    19   0.00 pi   0.50 pi  1.00   1.000   0.000   0.000    -24.40779545    334.39
    20   0.50 pi   0.00 pi  1.00   0.000   0.000   1.000    -24.40812984      0.00
    21   0.50 pi   0.03 pi  1.00   0.000   0.083   0.997    -24.40812633      3.51
    22   0.50 pi   0.05 pi  1.00   0.000   0.165   0.986    -24.40811728     12.56
    23   0.50 pi   0.08 pi  1.00   0.000   0.245   0.969    -24.40810704     22.80
    24   0.50 pi   0.11 pi  1.00   0.000   0.325   0.946    -24.40809273     37.11
    25   0.50 pi   0.13 pi  1.00   0.000   0.402   0.916    -24.40806133     68.51
    26   0.50 pi   0.16 pi  1.00   0.000   0.476   0.879    -24.40803708     92.76
    27   0.50 pi   0.18 pi  1.00   0.000   0.547   0.837    -24.40802044    109.40
    28   0.50 pi   0.21 pi  1.00   0.000   0.614   0.789    -24.40799518    134.66
    29   0.50 pi   0.24 pi  1.00   0.000   0.677   0.736    -24.40796435    165.49
    30   0.50 pi   0.26 pi  1.00   0.000   0.736   0.677    -24.40793973    190.11
    31   0.50 pi   0.29 pi  1.00   0.000   0.789   0.614    -24.40791625    213.59
    32   0.50 pi   0.32 pi  1.00   0.000   0.837   0.547    -24.40788944    240.40
    33   0.50 pi   0.34 pi  1.00   0.000   0.879   0.476    -24.40786622    263.62
    34   0.50 pi   0.37 pi  1.00   0.000   0.916   0.402    -24.40783964    290.20
    35   0.50 pi   0.39 pi  1.00   0.000   0.946   0.325    -24.40782792    301.92
    36   0.50 pi   0.42 pi  1.00   0.000   0.969   0.245    -24.40781001    319.83
    37   0.50 pi   0.45 pi  1.00   0.000   0.986   0.165    -24.40780445    325.39
    38   0.50 pi   0.47 pi  1.00   0.000   0.997   0.083    -24.40779925    330.59
    39   0.50 pi   0.50 pi  1.00   0.000   1.000   0.000    -24.40779857    331.27
    40   0.00 pi   0.00 pi  1.00   0.000   1.000   0.000    -24.40779663    333.21
    41   0.03 pi   0.00 pi  1.00   0.083   0.997   0.000    -24.40779652    333.32
    42   0.05 pi   0.00 pi  1.00   0.165   0.986   0.000    -24.40779606    333.78
    43   0.08 pi   0.00 pi  1.00   0.245   0.969   0.000    -24.40779615    333.69
    44   0.11 pi   0.00 pi  1.00   0.325   0.946   0.000    -24.40779494    334.90
    45   0.13 pi   0.00 pi  1.00   0.402   0.916   0.000    -24.40779478    335.06
    46   0.16 pi   0.00 pi  1.00   0.476   0.879   0.000    -24.40779448    335.36
    47   0.18 pi   0.00 pi  1.00   0.547   0.837   0.000    -24.40779396    335.88
    48   0.21 pi   0.00 pi  1.00   0.614   0.789   0.000    -24.40779326    336.58
    49   0.24 pi   0.00 pi  1.00   0.677   0.736   0.000    -24.40779425    335.59
    50   0.26 pi   0.00 pi  1.00   0.736   0.677   0.000    -24.40779371    336.13
    51   0.29 pi   0.00 pi  1.00   0.789   0.614   0.000    -24.40779377    336.07
    52   0.32 pi   0.00 pi  1.00   0.837   0.547   0.000    -24.40779344    336.40
    53   0.34 pi   0.00 pi  1.00   0.879   0.476   0.000    -24.40779414    335.70
    54   0.37 pi   0.00 pi  1.00   0.916   0.402   0.000    -24.40779501    334.83
    55   0.39 pi   0.00 pi  1.00   0.946   0.325   0.000    -24.40779479    335.05
    56   0.42 pi   0.00 pi  1.00   0.969   0.245   0.000    -24.40779465    335.19
    57   0.45 pi   0.00 pi  1.00   0.986   0.165   0.000    -24.40779516    334.68
    58   0.47 pi   0.00 pi  1.00   0.997   0.083   0.000    -24.40779544    334.40
    59   0.50 pi   0.00 pi  1.00   1.000   0.000   0.000    -24.40779484    335.00
