Accuracy_Flag = 20
  List       Phi     Theta     R       X       Y       Z          Energy        dE
     0   0.00 pi   0.00 pi  1.00   0.000   0.000   1.000    -23.13882661      0.48
     1   0.00 pi   0.03 pi  1.00   0.083   0.000   0.997    -23.13881947      7.62
     2   0.00 pi   0.05 pi  1.00   0.165   0.000   0.986    -23.13880830     18.79
     3   0.00 pi   0.08 pi  1.00   0.245   0.000   0.969    -23.13878712     39.97
     4   0.00 pi   0.11 pi  1.00   0.325   0.000   0.946    -23.13876352     63.57
     5   0.00 pi   0.13 pi  1.00   0.402   0.000   0.916    -23.13869537    131.72
     6   0.00 pi   0.16 pi  1.00   0.476   0.000   0.879    -23.13865240    174.69
     7   0.00 pi   0.18 pi  1.00   0.547   0.000   0.837    -23.13858869    238.40
     8   0.00 pi   0.21 pi  1.00   0.614   0.000   0.789    -23.13860115    225.94
     9   0.00 pi   0.24 pi  1.00   0.677   0.000   0.736    -23.13856119    265.90
    10   0.00 pi   0.26 pi  1.00   0.736   0.000   0.677    -23.13850110    325.99
    11   0.00 pi   0.29 pi  1.00   0.789   0.000   0.614    -23.13844219    384.90
    12   0.00 pi   0.32 pi  1.00   0.837   0.000   0.547    -23.13843190    395.19
    13   0.00 pi   0.34 pi  1.00   0.879   0.000   0.476    -23.13839761    429.48
    14   0.00 pi   0.37 pi  1.00   0.916   0.000   0.402    -23.13834100    486.09
    15   0.00 pi   0.39 pi  1.00   0.946   0.000   0.325    -23.13830956    517.53
    16   0.00 pi   0.42 pi  1.00   0.969   0.000   0.245    -23.13830799    519.10
    17   0.00 pi   0.45 pi  1.00   0.986   0.000   0.165    -23.13828992    537.17
    18   0.00 pi   0.47 pi  1.00   0.997   0.000   0.083    -23.13827848    548.61
    19   0.00 pi   0.50 pi  1.00   1.000   0.000   0.000    -23.13827034    556.75
    20   0.50 pi   0.00 pi  1.00   0.000   0.000   1.000    -23.13882709      0.00
    21   0.50 pi   0.03 pi  1.00   0.000   0.083   0.997    -23.13882105      6.04
    22   0.50 pi   0.05 pi  1.00   0.000   0.165   0.986    -23.13880794     19.15
    23   0.50 pi   0.08 pi  1.00   0.000   0.245   0.969    -23.13879315     33.94
    24   0.50 pi   0.11 pi  1.00   0.000   0.325   0.946    -23.13873819     88.90
    25   0.50 pi   0.13 pi  1.00   0.000   0.402   0.916    -23.13872716     99.93
    26   0.50 pi   0.16 pi  1.00   0.000   0.476   0.879    -23.13863675    190.34
    27   0.50 pi   0.18 pi  1.00   0.000   0.547   0.837    -23.13865793    169.16
    28   0.50 pi   0.21 pi  1.00   0.000   0.614   0.789    -23.13861480    212.29
    29   0.50 pi   0.24 pi  1.00   0.000   0.677   0.736    -23.13855997    267.12
    30   0.50 pi   0.26 pi  1.00   0.000   0.736   0.677    -23.13847836    348.73
    31   0.50 pi   0.29 pi  1.00   0.000   0.789   0.614    -23.13845625    370.84
    32   0.50 pi   0.32 pi  1.00   0.000   0.837   0.547    -23.13840318    423.91
    33   0.50 pi   0.34 pi  1.00   0.000   0.879   0.476    -23.13839189    435.20
    34   0.50 pi   0.37 pi  1.00   0.000   0.916   0.402    -23.13835451    472.58
    35   0.50 pi   0.39 pi  1.00   0.000   0.946   0.325    -23.13832070    506.39
    36   0.50 pi   0.42 pi  1.00   0.000   0.969   0.245    -23.13830441    522.68
    37   0.50 pi   0.45 pi  1.00   0.000   0.986   0.165    -23.13828672    540.37
    38   0.50 pi   0.47 pi  1.00   0.000   0.997   0.083    -23.13827487    552.22
    39   0.50 pi   0.50 pi  1.00   0.000   1.000   0.000    -23.13826434    562.75
    40   0.00 pi   0.00 pi  1.00   0.000   1.000   0.000    -23.13826521    561.88
    41   0.03 pi   0.00 pi  1.00   0.083   0.997   0.000    -23.13827213    554.96
    42   0.05 pi   0.00 pi  1.00   0.165   0.986   0.000    -23.13827206    555.03
    43   0.08 pi   0.00 pi  1.00   0.245   0.969   0.000    -23.13827269    554.40
    44   0.11 pi   0.00 pi  1.00   0.325   0.946   0.000    -23.13827342    553.67
    45   0.13 pi   0.00 pi  1.00   0.402   0.916   0.000    -23.13827434    552.75
    46   0.16 pi   0.00 pi  1.00   0.476   0.879   0.000    -23.13827428    552.81
    47   0.18 pi   0.00 pi  1.00   0.547   0.837   0.000    -23.13827633    550.76
    48   0.21 pi   0.00 pi  1.00   0.614   0.789   0.000    -23.13827684    550.25
    49   0.24 pi   0.00 pi  1.00   0.677   0.736   0.000    -23.13827650    550.59
    50   0.26 pi   0.00 pi  1.00   0.736   0.677   0.000    -23.13827659    550.50
    51   0.29 pi   0.00 pi  1.00   0.789   0.614   0.000    -23.13827625    550.84
    52   0.32 pi   0.00 pi  1.00   0.837   0.547   0.000    -23.13827710    549.99
    53   0.34 pi   0.00 pi  1.00   0.879   0.476   0.000    -23.13827677    550.32
    54   0.37 pi   0.00 pi  1.00   0.916   0.402   0.000    -23.13827602    551.07
    55   0.39 pi   0.00 pi  1.00   0.946   0.325   0.000    -23.13827510    551.99
    56   0.42 pi   0.00 pi  1.00   0.969   0.245   0.000    -23.13827468    552.41
    57   0.45 pi   0.00 pi  1.00   0.986   0.165   0.000    -23.13827471    552.38
    58   0.47 pi   0.00 pi  1.00   0.997   0.083   0.000    -23.13827428    552.81
    59   0.50 pi   0.00 pi  1.00   1.000   0.000   0.000    -23.13826992    557.17
